ID,Creator,Title,CycleStatus,UploadStatus
  1,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  2,Jane Doe,Cycle of June 2026,Completed,Pending
  3,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  4,Jane Doe,Cycle of June 2026,Completed,Pending
  5,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  6,Jane Doe,Cycle of June 2026,Completed,Pending
  7,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  8,Jane Doe,Cycle of June 2026,Completed,Pending
  9,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  10,Jane Doe,Cycle of June 2026,Completed,Pending
  11,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  12,Jane Doe,Cycle of June 2026,Completed,Pending
  13,Arvind Ramakrishna,Cycle of May 2026,WorkInProgress,Finished
  14,Jane Doe,Cycle of June 2026,Completed,Pending
